Value,TIME
-2.136578595,1983
1.718752311,1984
-0.459265167,1985
-6.527447989,1986
-7.614331356,1987
-8.466737355,1988
-9.415466575,1989
-9.86774396,1990
-6.181001823,1991
-8.87999256,1992
-13.24757217,1993
-17.1871392,1994
-15.10173215,1995
-14.607861,1996
-15.36308598,1997
-13.78582149,1998
-13.03790182,1999
-12.74706381,2000
-9.897074225,2001
-10.51795189,2002
-11.73474098,2003
-13.59941545,2004
-13.96225385,2005
-12.91384395,2006
-8.867151484,2007
-5.141199799,2008
-2.394400245,2009
-11.40582358,2010
-13.26160661,2011
-13.35496088,2012
-14.19696084,2013
-14.33097903,2014
-12.58030771,2015
-11.71900753,2016
-9.681428351,2017
-8.294558789,2018
